id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordID,references
4144203,UNM,"Vascular Plants",,274317fa-b413-42b6-bb9a-cfe8f2e54962,PreservedSpecimen,0574418e-6fc7-46e1-9ff7-25e6ce43c13e,UNM0075774,129033,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"J. Larson; R. Peters",,,2005,,,,,,"Wrong data possible because of ambiguity in possible specimen.",,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceRemarks, georeferencedBy, georeferenceProtocol, georeferenceSources, georeferenceVerificationStatus, habitat",,,,,,,,,,,"Single Sheet - 1","United States","New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,,bclauss,"2013-11-11 14:16:19",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:0574418e-6fc7-46e1-9ff7-25e6ce43c13e,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4144203
4726332,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,906643,"Barcode: RM0029800",Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Ben Legler",,,2007,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceSources, habitat",,,,,,flowering,,,,,,U.S.A.,"New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,English,,"2013-11-08 02:01:51",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:5a7fa36b-8673-4005-93c8-e130de284af4,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4726332
4726467,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,906644,"Barcode: RM0029801",Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Ben Legler",,,2007,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, verbatimCoordinates, georeferenceSources, habitat",,,,,,flowering,,,,,,U.S.A.,"New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,English,,"2013-11-08 02:01:51",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:9a98118d-470a-433d-ab74-42a1b1ec77f5,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4726467
4777456,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,906708,"Barcode: RM0029751",Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Ben Legler",,,2009,,,,,,"Specimen GPS: 36.567188° N, 105.406853° W.",,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, verbatimCoordinates, georeferenceSources, habitat",,,,,,flowering,,,,,,U.S.A.,"New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,English,,"2013-11-08 02:02:07",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d2e61b21-605f-4fee-a632-02540f010beb,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4777456
4821909,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,542997,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"John M. Gillett, T. Mosquin",,,1963,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,flowering,,,,,,U.S.A.,Colorado,Huerfano,,,,,,,,,,,,,,,,,,,,,English,,"2013-02-06 11:13:51",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:84e5fba3-c87f-4474-9535-bf3624c40ded,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4821909
4821910,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,283443,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Ronald L. Hartman",,,1966,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, georeferenceSources, habitat",,,,,,flowering,,,,,,U.S.A.,"New Mexico",Colfax,,,,,,,,,,,,,,,,,,,,,English,,"2012-01-05 08:36:43",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7fb8f2a3-c681-414f-8599-7c986a663484,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4821910
4821911,USFS,,USFS,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,457311,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Robert F. Copple",,,1923,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,flowering,,,,,,U.S.A.,"New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,English,,"2013-02-06 11:13:51",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6b7e31a7-5115-4896-b8a2-104e71f3cc92,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4821911
4821912,USFS,,USFS,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,456700,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Robert F. Copple",,,1923,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, coordinateUncertaintyInMeters, georeferenceSources, habitat",,,,,,flowering,,,,,,U.S.A.,"New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,English,,"2013-02-06 11:13:51",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:8fe4a3d2-3259-43d3-b72e-269fe961bfe1,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4821912
4855196,RM,,RM,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,28100,"Barcode: RM0003572",Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,"Paratype for <i>Delphinium</i> <i>alpestre</i> Rydb.. Bull. Torrey Bot. Club 29: 146. 1902.","P. A. Rydberg, F. K. Vreeland",,,1900,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation",,,,,,buds,,,,,,U.S.A.,Colorado,,,,,,,,,,,,,,,,,,,,,,English,,"2020-12-31 23:01:39",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d159755a-a775-4cbf-a761-79e24b222cc8,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=4855196
6033458,SEINet,,,70528ab3-7884-4339-8301-c25917c8db74,Observation,6623db4b-cd3a-43f5-9b8a-10dda685246b,,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,"J. McGrath",,,,,,,"J. McGrath; Max Licher",,,2014,,,,,,"Ground not saturated to surface at site of collection",,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, geodeticDatum, habitat",,,,,"Castilleja haydenii",,,,,,,"United States","New Mexico",Taos,,,,,,,,,,,,,,,,,,,,,,jmcgrath,"2020-07-08 17:08:09",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:6623db4b-cd3a-43f5-9b8a-10dda685246b,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=6033458
6793761,"Utah State University",UTC,,06bf658d-f555-4c9c-ab93-fc2d7db7086e,PreservedSpecimen,321c6c8b-81e3-49b1-9b9b-094dcdebdb86,UTC00266799,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Sally Walker",,,,,,,,,,,,,,,,,,,,,,,,,"United States","New Mexico",,,,,,,,,,,,,,,,,,,,,,,accollins,"2020-06-17 07:58:39",http://creativecommons.org/publicdomain/zero/1.0/,"Utah State University",,urn:uuid:321c6c8b-81e3-49b1-9b9b-094dcdebdb86,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=6793761
10762725,MO,,MOBOT,120a109a-fef1-4ea6-b7d7-6a5f8f0e5c18,PreservedSpecimen,urn:catalog:MO:Tropicos:100290396,100290396,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,"M.J. Warnock",1993,,,,,Isotype,"Elihu Hall",,,1862,0,0,,,,,,,,"field values redacted: eventDate, verbatimEventDate, recordNumber, locality",,,,,,,,,,1,,"United States",,,,,,,,,,,,,,,,,,,,,,,,,"2010-08-25 13:14:00",http://creativecommons.org/licenses/by/3.0/,"Missouri Botanical Garden",,urn:uuid:657f81e3-f0f6-45f5-8837-01a69976f89b,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=10762725
11479086,NO,"Vascular Plants",LSU(NO),fe609977-5b39-49c5-905a-32ca83233244,PreservedSpecimen,7adb27ec-5893-4a90-849f-e52b8127fca4,NO0055706,s.n.,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Joseph A. Ewan",,,1949,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber",,,,,,,,,,,,"United States",Colorado,Huerfano,,,,,,,,,,,,,,,,,,,,,,otaylo5,"2018-02-06 01:49:13",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:7adb27ec-5893-4a90-849f-e52b8127fca4,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11479086
11479088,NO,"Vascular Plants",LSU(NO),fe609977-5b39-49c5-905a-32ca83233244,PreservedSpecimen,3debd40a-47a2-4ba9-b492-11e0d9aef735,NO0055707,s.n.,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Joseph A. Ewan",,,1949,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, recordNumber",,,,,,,,,,,,"United States",Colorado,Huerfano,,,,,,,,,,,,,,,,,,,,,,otaylo5,"2018-02-06 01:49:13",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:3debd40a-47a2-4ba9-b492-11e0d9aef735,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=11479088
12087284,CM,Botany,,a3883acd-bc7d-40f2-a6e4-372a3435e5d1,PreservedSpecimen,97CEAA64-1B26-451C-8A72-021B7B1A5F50,CM112328,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,"M.J. Warnock 1993",,,"CM filed-as name",,,,"Tidestrom, I.",,,1910,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, verbatimCoordinates",,,,,,fr,,,,,,"United States",Colorado,,,,,,,,,,,,,,,,,,,,,,,preprocessed,"1998-07-15 00:00:00",http://creativecommons.org/publicdomain/zero/1.0/,"Carnegie Museum of Natural History",,urn:uuid:9224414e-eefd-45eb-99c7-a1fdb51e3e80,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=12087284
12973405,RM,,,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Emily A. Holt, Benjamin Madsen",,,2000,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, verbatimCoordinates, habitat",,,,,,flowering,,,,,,U.S.A.,Colorado,Chaffee,,,,,,,,,,,,,,,,,,,,,English,,"2009-03-19 15:41:21",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:67c945f3-239b-4c14-8aa8-1841c4c0a702,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=12973405
13093828,RM,,,ee7a5f18-f9b4-4c78-b36e-3763a5852c46,PreservedSpecimen,,,,Plantae|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Delphinium,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,"Delphinium alpestre",18136,Rydb.,Delphinium,,alpestre,,,Species,,,,,,,,"Timothy W. Chumley",,,1996,,,,,,,,,,"field values redacted: eventDate, month, day, startDayOfYear, verbatimEventDate, recordNumber, locality, minimumElevationInMeters, maximumElevationInMeters, verbatimElevation, decimalLatitude, decimalLongitude, verbatimCoordinates, habitat",,,,,,flowering,,,,,,U.S.A.,Colorado,Park,,,,,,,,,,,,,,,,,,,,,English,,"2009-03-19 15:27:12",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e38784d7-8eaf-4f2c-9d64-ae838a6afe7a,https://www.soroherbaria.org/portal/collections/individual/index.php?occid=13093828
