coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
4727220,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:c7b5a17e-180e-4fdf-be44-35f11b3e7204,"2014-10-03 06:18:38"
4727220,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:bc8ecc64-95ad-4191-ace5-17e5b9ec6bb6,"2021-01-07 16:23:24"
4727291,,,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:8aa45c92-2fef-45ca-a5e0-dffcdc32d76c,"2014-10-03 06:18:38"
4727291,"not specified",,2008-01-18,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:007cf87d-0ed2-473c-9863-7a4ba669e809,"2021-01-07 16:23:24"
1506876,,,,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f385eec9-bb62-4b29-a068-e0be92671850,"2014-10-03 06:18:38"
1506876,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f63a2388-ccad-448a-8559-714a85a8e5e8,"2021-01-07 16:23:24"
1506939,,,,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:4aae9d8e-c351-4bb7-b5d6-6198a7d9064a,"2014-10-03 06:18:38"
1506939,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:50205533-8acc-43f1-8b43-d2f90a76e322,"2021-01-07 16:23:24"
1510412,,,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:38ecce88-78fb-4b39-8b04-5260f0745c6e,"2014-10-03 06:18:38"
1510412,"not specified",,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:2f9ded6c-12de-48a0-b604-19df0b4e8196,"2021-01-07 16:23:24"
1511574,,,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:3d829d5a-212a-455c-8548-c7c97e760402,"2014-10-03 06:18:38"
1511574,"not specified",,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:3f416391-3edd-4ee5-9dfe-cfc38a76db90,"2021-01-07 16:23:24"
1511747,,,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:5e498d47-b6a7-4756-beea-1fb21c795b3b,"2014-10-03 06:18:38"
1511747,"not specified",,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:b3263df3-7fa2-4d1c-9037-872de8909a9b,"2021-01-07 16:23:24"
1511748,,,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:e2f4bc40-8cf7-475a-8a07-df30661e0a1b,"2014-10-03 06:18:38"
1511748,"not specified",,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:b44e6af7-c31a-42cd-a352-1a0dfc2a4fc9,"2021-01-07 16:23:24"
1523005,,,,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:7281251a-9b19-4e05-950b-c2c25c2b4fb9,"2014-10-03 06:18:38"
1523005,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:5d5ff42c-fba9-4ce8-bc41-e4d140b99c2a,"2021-01-07 16:23:24"
1746463,,,,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:1df988da-557d-4a51-af0b-a00f79993fdd,"2014-10-03 06:18:38"
1746463,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:e7ceaa57-72fc-4be1-a339-3d718a8359d4,"2021-01-07 16:23:24"
1746508,,,,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:fee71458-766c-4896-84b5-544277c7c544,"2014-10-03 06:18:38"
1746508,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:a65b257a-0714-4e2e-a462-3c364e725059,"2021-01-07 16:23:24"
1757714,,,2008-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:e29306a5-1835-4836-b05f-c686bd0dcc58,"2014-10-03 06:18:38"
1757714,"not specified",,2008-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:a1d6e6fc-99b4-4fbc-a29c-e51ab652e852,"2021-01-07 16:23:24"
1301113,,,,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:7805a2fd-1652-4e55-a22f-57e496f6810e,"2014-10-03 06:18:38"
1301113,"not specified",,"not specified",,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:2aac06ba-84d2-4785-85d5-e320f060a1d4,"2021-01-07 16:23:24"
4821625,,,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:3382d099-6bcd-4277-91a4-525a3200407f,"2014-10-03 06:18:38"
4821625,"not specified",,1993-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f74c772c-516b-4655-a7f3-ac4baae38403,"2021-01-07 16:23:24"
1522096,,,2008-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:24b8d4de-7914-40aa-9d43-7a27c6515953,"2014-10-03 06:18:38"
1522096,"not specified",,2008-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:c3f67925-ef45-4ec7-9a34-66a34c7bfcec,"2021-01-07 16:23:24"
1514209,,,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:21131c39-db45-4f30-a122-0c10aadf891e,"2014-10-03 06:18:38"
1514209,"not specified",,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:e2d62262-fb37-40ac-82db-ad3ff1bdf393,"2021-01-07 16:23:24"
1514247,,,1957-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:3a2a4a7d-b8f4-4a49-b493-f5175544e6ea,"2014-10-03 06:18:38"
1514247,"not specified",,1957-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f666ed7f-8c12-40ff-9b55-54b7b0ea9619,"2021-01-07 16:23:24"
1514822,,,2008-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:f33a4870-daad-40d6-8f8c-a145852618ec,"2014-10-03 06:18:38"
1514822,"not specified",,2008-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:038bf30f-f838-44e6-9010-6e62046387a3,"2021-01-07 16:23:24"
1519104,,,1979-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:4bd9fcbd-fd2b-430d-9829-be025d6835ef,"2014-10-03 06:18:38"
1519104,"not specified",,1979-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:ed1e532c-d39c-425f-85dd-e89de352bc85,"2021-01-07 16:23:24"
1521048,,,1957-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:34c335ed-8a9f-4a80-9e70-4aaabe56329f,"2014-10-03 06:18:38"
1521048,"not specified",,1957-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:98f02220-a475-48a2-96dc-e09549cddd47,"2021-01-07 16:23:24"
1512017,,,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:96953210-0556-4476-ae39-c3a8324529a8,"2014-10-03 06:18:38"
1512017,"not specified",,1951-00-00,,"Delphinium ramosum",,Rydb.,,,,,,,urn:uuid:1e322216-fe6b-4612-a7f4-24e70f3ba310,"2021-01-07 16:23:24"
23793780,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:385a78f4-4d86-4f78-9b59-03b3370bdf39,"2020-02-13 13:52:16"
23793781,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:2a887125-da77-4af6-b331-ca264348c99b,"2020-02-13 13:52:16"
23793782,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:ad4f73be-4afe-42b8-8486-5749eb132224,"2020-02-13 13:52:16"
23793779,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:3d8c5492-52b0-4411-974b-110fd76e1088,"2020-02-13 13:52:16"
23793778,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:7c368deb-646f-4a82-972f-315d9460a566,"2020-02-13 13:52:16"
23793777,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:5a8df635-0d31-46db-bbbf-8f70eaf9731c,"2020-02-13 13:52:16"
23793776,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:be1ea395-3649-4cd8-8105-8a15f868b761,"2020-02-13 13:52:16"
23793772,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:9cb43968-5f8d-46a4-89dd-4ad9bf3401cf,"2020-02-13 13:52:16"
23793774,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:9f415f27-1369-4fa0-a4d9-77ad7e0bfdb8,"2020-02-13 13:52:16"
23793767,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:b0d47672-92f2-449b-8efb-e0d9db0231ed,"2020-02-13 13:52:16"
23793770,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:a4bc91d8-e6da-4ae1-8a19-912eba8a6005,"2020-02-13 13:52:16"
23793775,"not specified",,"not specified",,"Delphinium ramosum Rydberg",,Rydberg,,,,,,,urn:uuid:e487ed25-3e63-4dc1-8066-e1d27891596a,"2020-02-13 13:52:16"
